Description,Varname,StartPosition,EndPosition,Value
前職の産業,var49,87,88,01: 農林漁業; 02: 鉱業; 03: 建設業; 04: 製造業; 05: 電気・ガス・熱供給・水道業; 06: 情報通信業; 07: 運輸業; 08: 卸売・小売業; 09: 金融・保険業; 10: 不動産業; 11: 飲食店、宿泊業; 12: 医療、福祉; 13: 教育、学習支援業; 14: 複合サービス業; 15: サービス業; 16: その他の産業; VV: 不詳; 
前職の仕事の内容チェック済,var50,89,89,1: 専門的・技術的職業従事者; 2: 管理的職業従事者; 3: 事務従事者; 4: 販売従事者; 5: サービス職業従事者; 6: 保安職業従事者; 7: 運輸・通信従事者; 8: 生産工程・労務作業者; 9: その他の職業従事者; V: 不詳; 
分類表7-2,var51,90,90,1: 前職の仕事の内容チェック済:1~4; 2: 前職の仕事の内容チェック済:7,8; 3: 前職の仕事の内容チェック済:5,6,9; V: 前職の仕事の内容チェック済:V; 
前職の従業上の地位チェック済,var52,91,91,1: 雇用者(一般労働者); 2: 雇用者(パートタイム労働者); 3: 自営業主、家族従業者; V: 不詳; 
分類表25,var53,92,92,2: 前職の従業上の地位チェック済:1; 3: 前職の従業上の地位チェック済:2; 4: 前職の従業上の地位チェック済:3; V: 前職の従業上の地位チェック済:V; 
分類表31,var54,93,94,00: ; 01: ; 11: ; 
分類表32,var55,95,96,00: ; 11: ; 22: ; 
離職期間,var56,97,97,1: 15日未満; 2: 15日~1ヶ月未満; 3: 1ヶ月~3ヶ月未満; 4: 3ヶ月~6ヶ月未満; 5: 6ヶ月~1年未満; 6: 1年~1年6ヶ月未満; 7: 1年6ヶ月~2年未満; V: 不詳; 
前職の従業員数,var57,98,98,1: 1000人以上; 2: 300~999人; 3: 100~299人; 4: 30~99人; 5: 5~29人; 6: 4人以下; 7: 官公営; V: 不詳; 
空白3,var58,99,99,: ; 
前の勤め先を辞めた理由チェック済,var59,100,101,01: 仕事の内容が不満; 02: 能力・個性・資格を生かせない; 03: 職場の人間関係; 04: 会社の将来が不安; 05: 収入が少ない; 06: 労働条件が悪い; 07: 結婚・出産・育児・介護; 08: 定年、契約期間の満了; 09: 会社都合; 10: その他の理由; VV: 不詳; 
分類表28前,var60,102,103,01: 前の勤め先を辞めた理由チェック済:01; 02: 前の勤め先を辞めた理由チェック済:02; 03: 前の勤め先を辞めた理由チェック済:03; 04: 前の勤め先を辞めた理由チェック済:04; 05: 前の勤め先を辞めた理由チェック済:05; 06: 前の勤め先を辞めた理由チェック済:06; 07: 前の勤め先を辞めた理由チェック済:07; 08: 前の勤め先を辞めた理由チェック済:08; 09: 前の勤め先を辞めた理由チェック済:09; 10: 前の勤め先を辞めた理由チェック済:10; VV: 前の勤め先を辞めた理由チェック済:VV; 
分類表28-2,var61,104,105,01: 前の勤め先を辞めた理由チェック済:01; 02: 前の勤め先を辞めた理由チェック済:02; 03: 前の勤め先を辞めた理由チェック済:03; 04: 前の勤め先を辞めた理由チェック済:04; 05: 前の勤め先を辞めた理由チェック済:05; 06: 前の勤め先を辞めた理由チェック済:06; 07: 前の勤め先を辞めた理由チェック済:07; 08: 前の勤め先を辞めた理由チェック済:08; 09: 前の勤め先を辞めた理由チェック済:09; 10: 前の勤め先を辞めた理由チェック済:10; VV: 前の勤め先を辞めた理由チェック済:VV; 
現在の勤め先を選んだ理由チェック済,var62,106,107,11: 仕事の内容に興味; 12: 能力・個性・資格を生かせる; 13: 会社の将来に期待; 14: 収入が多い; 15: 労働条件がよい; 16: 通勤が便利; 17: とにかく仕事につきたかった; 18: その他の理由; VV: 不詳; 
分類表28後,var63,108,109,11: 現在の勤め先を選んだ理由チェック済:11; 12: 現在の勤め先を選んだ理由チェック済:12; 13: 現在の勤め先を選んだ理由チェック済:13; 14: 現在の勤め先を選んだ理由チェック済:14; 15: 現在の勤め先を選んだ理由チェック済:15; 16: 現在の勤め先を選んだ理由チェック済:16; 17: 現在の勤め先を選んだ理由チェック済:17; 18: 現在の勤め先を選んだ理由チェック済:18; VV: 現在の勤め先を選んだ理由チェック済:VV; 
分類表28-3,var64,110,111,01: 現在の勤め先を選んだ理由チェック済:11; 02: 現在の勤め先を選んだ理由チェック済:12; 03: 現在の勤め先を選んだ理由チェック済:13; 04: 現在の勤め先を選んだ理由チェック済:14; 05: 現在の勤め先を選んだ理由チェック済:15; 06: 現在の勤め先を選んだ理由チェック済:16; 07: 現在の勤め先を選んだ理由チェック済:17; 08: 現在の勤め先を選んだ理由チェック済:18; VV: 現在の勤め先を選んだ理由チェック済:VV; 
賃金変動チェック済,var65,112,112,1: 増加3割以上; 2: 増加1割以上3割未満; 3: 増加1割未満; 4: 変わらない; 5: 減少1割未満; 6: 減少1割以上3割未満; 7: 減少3割以上; V: 不詳; 
分類表26-2,var66,113,113,1: 賃金変動チェック済:1,2; 2: 賃金変動チェック済:3; 3: 賃金変動チェック済:4; 4: 賃金変動チェック済:5; 5: 賃金変動チェック済:6,7; 
分類表26-3,var67,114,114,1: 賃金変動チェック済:1; 2: 賃金変動チェック済:2; 3: 賃金変動チェック済:6; 4: 賃金変動チェック済:7; 
インターネットの活用状況1,var68,115,115,1,: 求人企業が直接運営するサイト; 
インターネットの活用状況2,var69,116,116,2,: 民間等の求人広告会社のサイト; 
インターネットの活用状況3,var70,117,117,3,: しごと情報ネット; 
インターネットの活用状況4,var71,118,118,4,: ハローワークインターネットサービス; 
インターネットの活用状況5,var72,119,119,5,: その他のサイト; 
インターネットの活用状況6,var73,120,120,6,: 面接日の調整や企業に対する質問等に活用; 
インターネットの活用状況7,var74,121,121,7,: インターネットは活用しなかった; 
空白4,var75,122,125,: ; 
分類表1,var76,126,127,02~45: 02,03,05~30,32~39,41~45; 
製造業分類,var77,128,129,46~48,: FC,FM,FN以外; 
DLM8,var78,130,130,*: ; 
