Description,Varname,StartPosition,EndPosition,Value
ロ転入者等,var40,135,140,0~999999: ; 
(3)常用に切り替えられた者,var41,141,146,0~999999: ; 
イ離職者,var42,147,152,0~999999: ; 
ロ転出者等,var43,153,158,0~999999: ; 
(5)期末常用労働者,var44,159,164,0~999999: ; 
イ入職者,var45,165,170,0~999999: ; 
ロ転入者等,var46,171,176,0~999999: ; 
(3)常用に切り替えられた者,var47,177,182,0~999999: ; 
イ離職者,var48,183,188,0~999999: ; 
ロ転出者等,var49,189,194,0~999999: ; 
(5)期末常用労働者,var50,195,200,0~999999: ; 
イ入職者,var51,201,206,0~999999: ; 
ロ転入者等,var52,207,212,0~999999: ; 
(3)常用に切り替えられた者,var53,213,218,0~999999: ; 
イ離職者,var54,219,224,0~999999: ; 
ロ転出者等,var55,225,230,0~999999: ; 
(5)期末常用労働者,var56,231,236,0~999999: ; 
イ入職者,var57,237,242,0~999999: ; 
ロ転入者等,var58,243,248,0~999999: ; 
(3)常用に切り替えられた者,var59,249,254,0~999999: ; 
イ離職者,var60,255,260,0~999999: ; 
ロ転出者等,var61,261,266,0~999999: ; 
(5)期末常用労働者,var62,267,272,0~999999: ; 
イ入職者,var63,273,278,0~999999: ; 
ロ転入者等,var64,279,284,0~999999: ; 
(3)常用に切り替えられた者,var65,285,290,0~999999: ; 
イ離職者,var66,291,296,0~999999: ; 
ロ転出者等,var67,297,302,0~999999: ; 
(5)期末常用労働者,var68,303,308,0~999999: ; 
イ入職者,var69,309,314,0~999999: ; 
ロ転入者等,var70,315,320,0~999999: ; 
(3)常用に切り替えられた者,var71,321,326,0~999999: ; 
イ離職者,var72,327,332,0~999999: ; 
ロ転出者等,var73,333,338,0~999999: ; 
(5)期末常用労働者,var74,339,344,0~999999: ; 
19歳以下,var75,345,350,0~999999: ; 
20~24歳,var76,351,356,0~999999: ; 
25~29歳,var77,357,362,0~999999: ; 
30~34歳,var78,363,368,0~999999: ; 
35~39歳,var79,369,374,0~999999: ; 
40~44歳,var80,375,380,0~999999: ; 
45~49歳,var81,381,386,0~999999: ; 
50~54歳,var82,387,392,0~999999: ; 
55~59歳,var83,393,398,0~999999: ; 
60~64歳,var84,399,404,0~999999: ; 
65歳以上,var85,405,410,0~999999: ; 
合計,var86,411,416,0~999999: ; 
19歳以下,var87,417,422,0~999999: ; 
20~24歳,var88,423,428,0~999999: ; 
25~29歳,var89,429,434,0~999999: ; 
30~34歳,var90,435,440,0~999999: ; 
35~39歳,var91,441,446,0~999999: ; 
40~44歳,var92,447,452,0~999999: ; 
45~49歳,var93,453,458,0~999999: ; 
50~54歳,var94,459,464,0~999999: ; 
55~59歳,var95,465,470,0~999999: ; 
60~64歳,var96,471,476,0~999999: ; 
65歳以上,var97,477,482,0~999999: ; 
合計,var98,483,488,0~999999: ; 
19歳以下,var99,489,494,0~999999: ; 
20~24歳,var100,495,500,0~999999: ; 
25~29歳,var101,501,506,0~999999: ; 
30~34歳,var102,507,512,0~999999: ; 
35~39歳,var103,513,518,0~999999: ; 
40~44歳,var104,519,524,0~999999: ; 
45~49歳,var105,525,530,0~999999: ; 
50~54歳,var106,531,536,0~999999: ; 
55~59歳,var107,537,542,0~999999: ; 
60~64歳,var108,543,548,0~999999: ; 
65歳以上,var109,549,554,0~999999: ; 
合計,var110,555,560,0~999999: ; 
19歳以下,var111,561,566,0~999999: ; 
20~24歳,var112,567,572,0~999999: ; 
25~29歳,var113,573,578,0~999999: ; 
30~34歳,var114,579,584,0~999999: ; 
35~39歳,var115,585,590,0~999999: ; 
40~44歳,var116,591,596,0~999999: ; 
45~49歳,var117,597,602,0~999999: ; 
50~54歳,var118,603,608,0~999999: ; 
55~59歳,var119,609,614,0~999999: ; 
60~64歳,var120,615,620,0~999999: ; 
65歳以上,var121,621,626,0~999999: ; 
合計,var122,627,632,0~999999: ; 
専門・技術,var123,633,638,0~999999: ; 
管理,var124,639,644,0~999999: ; 
事務,var125,645,650,0~999999: ; 
販売,var126,651,656,0~999999: ; 
サービス,var127,657,662,0~999999: ; 
保安,var128,663,668,0~999999: ; 
運輸・通信,var129,669,674,0~999999: ; 
生産・労務,var130,675,680,0~999999: ; 
その他,var131,681,686,0~999999: ; 
合計,var132,687,692,0~999999: ; 
専門・技術,var133,693,698,0~999999: ; 
管理,var134,699,704,0~999999: ; 
事務,var135,705,710,0~999999: ; 
販売,var136,711,716,0~999999: ; 
サービス,var137,717,722,0~999999: ; 
保安,var138,723,728,0~999999: ; 
運輸・通信,var139,729,734,0~999999: ; 
生産・労務,var140,735,740,0~999999: ; 
その他,var141,741,746,0~999999: ; 
合計,var142,747,752,0~999999: ; 
専門・技術,var143,753,758,0~999999: ; 
管理,var144,759,764,0~999999: ; 
事務,var145,765,770,0~999999: ; 
販売,var146,771,776,0~999999: ; 
サービス,var147,777,782,0~999999: ; 
保安,var148,783,788,0~999999: ; 
運輸・通信,var149,789,794,0~999999: ; 
生産・労務,var150,795,800,0~999999: ; 
その他,var151,801,806,0~999999: ; 
合計,var152,807,812,0~999999: ; 
専門・技術,var153,813,818,0~999999: ; 
管理,var154,819,824,0~999999: ; 
事務,var155,825,830,0~999999: ; 
販売,var156,831,836,0~999999: ; 
サービス,var157,837,842,0~999999: ; 
保安,var158,843,848,0~999999: ; 
運輸・通信,var159,849,854,0~999999: ; 
生産・労務,var160,855,860,0~999999: ; 
その他,var161,861,866,0~999999: ; 
合計,var162,867,872,0~999999: ; 
調査入職者数,var163,873,876,0~9999: ; 
調査離職者数,var164,877,880,0~9999: ; 
